School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,3.69,3.87,7.57,1,1,1
SLUH,2.47,3.52,5.98,8,2,2
Springfield Catholic,2.9,2.79,5.69,3,10,3
Ladue Horton Watkins,2.55,2.92,5.46,6,7,4
Glendale,2.56,2.49,5.05,5,17,5
Parkway West,2.47,2.54,5.01,7,16,6
Liberty (Wentzville),2.92,2.07,4.99,2,31,7
Van Horn,2.29,2.64,4.93,10,11,8
Ft. Zumwalt West,1.97,2.91,4.88,20,8,9
De Smet Jesuit,2.2,2.59,4.79,12,14,10
Francis Howell Central,1.86,2.86,4.73,22,9,11
St. Dominic,1.75,2.98,4.73,27,4,12
Francis Howell,1.79,2.94,4.72,26,6,13
Chaminade College Prep,1.73,2.97,4.7,28,5,14
Westminster Christian Academy,1.53,3.06,4.59,37,3,15
Park Hill South,2.4,2.19,4.58,9,27,16
Ft. Zumwalt East,2.1,2.43,4.53,14,19,17
Northeast (Kansas City),2.22,2.27,4.48,11,23,18
Liberty North,2.72,1.75,4.47,4,41,19
Christian Brothers College,1.82,2.64,4.46,24,12,20
Kirkwood,2.14,2.27,4.41,13,22,21
Liberty,1.7,2.54,4.25,30,15,22
Priory,2.03,2.21,4.23,18,26,23
Oakville,1.63,2.6,4.23,32,13,24
Rock Bridge,2.1,2.09,4.19,15,30,25
Rockwood Summit,1.82,2.23,4.05,25,25,26
Vianney,1.61,2.37,3.98,36,20,27
Lindbergh,1.33,2.43,3.76,41,18,28
Lee's Summit North,2.03,1.72,3.75,19,44,29
Pembroke Hill,1.9,1.58,3.47,21,51,30
Jackson,1.26,2.12,3.38,45,29,31
Lee's Summit West,1.3,2.03,3.33,43,32,32
Lafayette (Wildwood),1.33,1.97,3.3,40,34,33
Timberland,1.67,1.59,3.26,31,50,34
Marquette,1.03,2.23,3.26,58,24,35
Francis Howell North,1.63,1.59,3.22,33,49,36
Clayton,1.09,2.14,3.22,55,28,37
Parkway Central,1.53,1.67,3.2,38,48,38
Lincoln College Prep,1.86,1.3,3.16,23,62,39
Ft. Zumwalt South,1.36,1.79,3.16,39,39,40
Blue Springs South,0.86,2.29,3.15,64,21,41
Lee's Summit,1.11,1.99,3.1,54,33,42
Nixa,1.28,1.81,3.1,44,38,43
Parkway South,1.62,1.42,3.03,35,58,44
Webster Groves,1.31,1.72,3.03,42,45,45
Northwest (Cedar Hill),1.04,1.97,3.02,57,35,46
Carthage,1.23,1.77,3.01,47,40,47
Affton,2.05,0.93,2.99,16,72,48
Eureka,0.98,1.9,2.88,59,37,49
Summit Christian Academy,1.15,1.71,2.87,50,46,50
Ozark,1.12,1.74,2.86,53,43,51
Farmington,1.08,1.74,2.82,56,42,52
Notre Dame (Cape Girardeau),1.18,1.46,2.64,49,56,53
Grain Valley,2.04,0.41,2.44,17,86,54
Perryville,1.23,1.19,2.42,48,64,55
John Burroughs,0.46,1.93,2.39,79,36,56
St. Michael the Archangel,0.8,1.56,2.37,67,52,57
Mehlville,1.62,0.73,2.35,34,79,58
Troy Buchanan,0.73,1.53,2.26,68,53,59
Staley,0.93,1.32,2.25,60,60,60
Capital City,0.87,1.26,2.13,63,63,61
Marshall,0.73,1.38,2.11,69,59,62
Pattonville,0.83,1.17,2.0,65,67,63
Park Hill,0.29,1.69,1.98,85,47,64
St. Pius X (Kansas City),1.72,0.18,1.91,29,99,65
Bayless,0.9,0.95,1.86,61,71,66
Logan-Rogersville,0.66,1.18,1.85,71,65,67
Lutheran South,0.42,1.42,1.84,82,57,68
North Point,0.88,0.88,1.76,62,75,69
Fort Osage,0.83,0.91,1.74,66,74,70
St. Francis Borgia,0.26,1.47,1.73,86,55,71
Principia,0.62,1.1,1.72,72,68,72
Blue Springs,0.54,1.17,1.71,77,66,73
Father Tolton,1.24,0.37,1.61,46,87,74
East (Kansas City),1.15,0.45,1.61,51,85,75
Lutheran St. Charles,0.12,1.47,1.59,92,54,76
Orchard Farm,0.23,1.31,1.54,88,61,77
Helias Catholic,0.57,0.81,1.38,76,77,78
Poplar Bluff,1.12,0.2,1.33,52,98,79
Ft. Zumwalt North,0.54,0.6,1.14,78,82,80
Veritas Christian Academy,0.21,0.87,1.08,89,76,81
Seckman,-0.03,1.04,1.01,97,70,82
Bolivar,0.09,0.78,0.87,93,78,83
MICDS,0.57,0.23,0.8,75,95,84
Central (Cape Girardeau),0.19,0.51,0.7,90,84,85
St. Charles,0.36,0.33,0.69,84,90,86
Pacific,0.03,0.57,0.6,96,83,87
Monett,-0.13,0.7,0.57,103,80,88
Harrisonville,-0.1,0.6,0.5,102,81,89
Kirksville,0.08,0.35,0.43,94,88,90
Raymore-Peculiar,0.18,0.22,0.39,91,96,91
Camdenton,0.57,-0.18,0.39,74,112,92
North Kansas City,-0.6,0.93,0.33,122,73,93
Central (St. Joseph),0.61,-0.5,0.1,73,129,94
