School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,3.69,3.87,7.57,1,1,1
SLUH,2.47,3.52,5.98,7,2,2
Ladue Horton Watkins,2.55,2.92,5.46,5,5,3
Glendale,2.56,2.49,5.05,4,13,4
Parkway West,2.47,2.54,5.01,6,12,5
Liberty (Wentzville),2.92,2.07,4.99,2,22,6
Ft. Zumwalt West,1.97,2.91,4.88,14,6,7
De Smet Jesuit,2.2,2.59,4.79,9,10,8
Francis Howell Central,1.86,2.86,4.73,15,7,9
St. Dominic,1.75,2.98,4.73,18,3,10
Francis Howell,1.79,2.94,4.72,17,4,11
Park Hill South,2.4,2.19,4.58,8,19,12
Liberty North,2.72,1.75,4.47,3,30,13
Christian Brothers College,1.82,2.64,4.46,16,8,14
Kirkwood,2.14,2.27,4.41,10,17,15
Liberty,1.7,2.54,4.25,19,11,16
Oakville,1.63,2.6,4.23,21,9,17
Rock Bridge,2.1,2.09,4.19,11,21,18
Vianney,1.61,2.37,3.98,24,15,19
Lindbergh,1.33,2.43,3.76,26,14,20
Lee's Summit North,2.03,1.72,3.75,13,33,21
Jackson,1.26,2.12,3.38,29,20,22
Lee's Summit West,1.3,2.03,3.33,27,23,23
Lafayette (Wildwood),1.33,1.97,3.3,25,25,24
Timberland,1.67,1.59,3.26,20,36,25
Marquette,1.03,2.23,3.26,35,18,26
Francis Howell North,1.63,1.59,3.22,22,35,27
Blue Springs South,0.86,2.29,3.15,39,16,28
Lee's Summit,1.11,1.99,3.1,32,24,29
Nixa,1.28,1.81,3.1,28,28,30
Parkway South,1.62,1.42,3.03,23,38,31
Northwest (Cedar Hill),1.04,1.97,3.02,34,26,32
Carthage,1.23,1.77,3.01,30,29,33
Eureka,0.98,1.9,2.88,36,27,34
Ozark,1.12,1.74,2.86,31,32,35
Farmington,1.08,1.74,2.82,33,31,36
Grain Valley,2.04,0.41,2.44,12,48,37
Troy Buchanan,0.73,1.53,2.26,42,37,38
Staley,0.93,1.32,2.25,37,39,39
Pattonville,0.83,1.17,2.0,40,41,40
Park Hill,0.29,1.69,1.98,46,34,41
North Point,0.88,0.88,1.76,38,46,42
Fort Osage,0.83,0.91,1.74,41,45,43
Blue Springs,0.54,1.17,1.71,44,40,44
Ft. Zumwalt North,0.54,0.6,1.14,45,47,45
Seckman,-0.03,1.04,1.01,49,43,46
Raymore-Peculiar,0.18,0.22,0.39,47,49,47
North Kansas City,-0.6,0.93,0.33,57,44,48
Central (St. Joseph),0.61,-0.5,0.1,43,60,49
Republic,-1.0,1.06,0.06,59,42,50
Oak Park,0.03,0.02,0.05,48,53,51
Rolla,-0.05,0.07,0.02,51,52,52
Kickapoo,-0.03,-0.25,-0.28,50,57,53
Platte County,-0.39,0.09,-0.31,54,51,54
Ritenour,-0.16,-0.31,-0.47,52,58,55
Branson,-0.42,-0.09,-0.52,55,55,56
Joplin,-0.17,-0.4,-0.57,53,59,57
Hickman,-0.68,0.09,-0.58,58,50,58
Fox,-0.44,-0.22,-0.66,56,56,59
Neosho,-1.22,0.01,-1.21,60,54,60
Waynesville,-1.47,-0.56,-2.03,61,61,61
