Date,Home Team,Home Score,Away Team,Away Score
2025-08-28,St. Pius X (Festus),1,Affton,5
2025-08-28,Ozark,2,Capital City,1
2025-08-28,William Chrisman,1,Center,2
2025-08-28,Union,3,DeSoto,0
2025-08-28,Windsor (Imperial),0,Farmington,6
2025-08-28,Bishop DuBourg,0,Fox,1
2025-08-28,Holt,0,Ft. Zumwalt North,7
2025-08-28,Helias Catholic,1,Ft. Zumwalt South,2
2025-08-28,Monett,0,Hillcrest,1
2025-08-28,Rockwood Summit,3,Jackson,2
2025-08-28,Francis Howell,4,Liberty (Wentzville),2
2025-08-28,Troy Buchanan,0,Lutheran St. Charles,1
2025-08-28,Ladue Horton Watkins,2,Mehlville,1
2025-08-28,Eugene,0,Mexico,10
2025-08-28,Christian Fellowship Sr.,0,Moberly,5
2025-08-28,McDonald County,1,Neosho,3
2025-08-28,Eureka,1,Oakville,3
2025-08-28,Lafayette (Wildwood),0,Parkway West,2
2025-08-28,Clinton,1,Savannah,0
2025-08-28,Willard,2,Savannah,3
2025-08-28,Kirksville,3,Southern Boone,2
2025-08-28,Gateway Science Charter,0,Valley Park,3
2025-08-28,Bayless,2,Vianney,7
2025-08-29,Greenwood,1,Aurora,0
2025-08-29,Sacred Heart,0,Clinton,1
2025-08-29,Fair Grove,2,Crocker,0
2025-08-29,Francis Howell Central,2,Ft. Zumwalt East,3
2025-08-29,Republic,2,Hillcrest,0
2025-08-29,Northwest (Cedar Hill),5,Hillsboro,0
2025-08-29,Lutheran South,1,John Burroughs,2
2025-08-29,Camdenton,4,Joplin,3
2025-08-29,Rock Bridge,5,Kickapoo,0
2025-08-29,Blue Springs South,1,Lee's Summit,0
2025-08-29,North Point,2,Liberty (Wentzville),9
2025-08-29,Willard,0,Logan-Rogersville,3
2025-08-29,Ft. Zumwalt West,0,Marquette,1
2025-08-29,Lebanon,2,Marshfield,2
2025-08-29,Principia,2,MICDS,1
2025-08-29,Republic,1,Monett,2
2025-08-29,Hickman,1,Nixa,3
2025-08-29,Bolivar,0,Northeast (Kansas City),2
2025-08-29,Marshall,3,Oak Park,2
2025-08-29,Savannah,7,Odessa,0
2025-08-29,Westminster Christian Academy,2,Priory,1
2025-08-29,Liberty North,0,Rockhurst,4
2025-08-29,Fatima,2,Smithton,1
2025-08-29,Father Tolton,0,Springfield Catholic,8
2025-08-29,Whitfield,0,St. Dominic,8
2025-08-29,Maplewood-Richmond Hts.,4,STEAM Academy,0
2025-08-29,St. Charles West,0,Webb City,2
2025-08-29,Branson,1,Webb City,0
2025-08-29,Ft. Zumwalt South,2,Webster Groves,1
2025-08-30,Marshall,2,Bolivar,0
2025-08-30,Republic,1,Branson,3
2025-08-30,Springfield Catholic,3,Capital City,1
2025-08-30,Camdenton,1,Carthage,6
2025-08-30,Ladue Horton Watkins,4,Clayton,1
2025-08-30,Northeast (Kansas City),8,Clinton,0
2025-08-30,Lebanon,1,Crocker,1
2025-08-30,Lebanon,0,Fair Grove,2
2025-08-30,Neosho,0,Hannibal,0
2025-08-30,Rolla,1,Hannibal,0
2025-08-30,Webb City,2,Hillcrest,1
2025-08-30,Notre Dame (Cape Girardeau),3,John Burroughs,1
2025-08-30,Hickman,1,Kickapoo,0
2025-08-30,Liberty,2,Lee's Summit West,0
2025-08-30,Fair Grove,2,Marshfield,1
2025-08-30,Crocker,0,Marshfield,2
2025-08-30,Jefferson City,1,Moberly,0
2025-08-30,West Plains,5,New Covenant Academy,1
2025-08-30,Rock Bridge,2,Nixa,1
2025-08-30,Savannah,1,Oak Park,0
2025-08-30,Sacred Heart,3,Odessa,0
2025-08-30,Neosho,1,Rolla,0
2025-08-30,Chaminade College Prep,2,SLUH,1
2025-08-30,Helias Catholic,1,Webster Groves,3
2025-09-01,Lincoln College Prep,0,Blue Springs South,0
2025-09-01,Platte County,0,Park Hill,2
2025-09-02,Lebanon,3,Aurora,0
2025-09-02,Raymore-Peculiar,1,Belton,5
2025-09-02,Lafayette (St. Joseph),1,Benton,3
2025-09-02,Platte County,0,Blue Springs South,4
2025-09-02,Clinton,4,Boonville,0
2025-09-02,DeSoto,4,Brentwood,3
2025-09-02,Chillicothe,4,Cameron,2
2025-09-02,Waynesville,0,Carthage,6
2025-09-02,Oak Grove,1,Center,3
2025-09-02,Rockwood Summit,1,Christian Brothers College,2
2025-09-02,Chaminade College Prep,1,Clayton,1
2025-09-02,Hickman,0,De Smet Jesuit,5
2025-09-02,Parkway South,4,Eureka,3
